doc_name,stream,group,is_active,is_expired,is_rfc,is_replaced,is_withdrawn_submitter,is_withdrawn_ietf,rfc_num,revisions
draft-sattler-registry-domain-drop-report,None,none,False,False,False,True,False,False,None,00
draft-west-lang-client-hint,None,none,False,True,False,False,False,False,None,00
draft-ietf-isis-segment-routing-extensions,ietf,lsr,False,False,True,False,False,False,8667,25
draft-jov-metropolitan-beacon-system-icd,None,none,False,True,False,False,False,False,None,01
draft-ietf-dnsop-edns-chain-query,ietf,dnsop,False,False,True,False,False,False,7901,07
draft-ietf-dnsop-edns-tcp-keepalive,ietf,dnsop,False,False,True,False,False,False,7828,06
draft-iab-svg-rfc,iab,iab,False,False,True,False,False,False,7996,02
draft-mcallister-pim-yang,None,none,False,False,False,True,False,False,None,02
draft-mglt-dnsop-search-list-processing,None,none,False,True,False,False,False,False,None,00
draft-hansen-scram-sha256,ietf,none,False,False,True,False,False,False,7677,04
draft-ietf-6man-why64,ietf,6man,False,False,True,False,False,False,7421,08
draft-jones-jose-jwk-thumbprint,None,none,False,True,False,False,False,False,None,01
draft-fairhurst-tsvwg-circuit-breaker,None,none,False,False,False,True,False,False,None,01
draft-fairhurst-tsvwg,None,none,False,False,False,True,False,False,None,00
draft-ietf-dane-openpgpkey-usage,ietf,dane,False,True,False,False,False,False,None,01
draft-ietf-dane-openpgpkey,ietf,dane,False,False,True,False,False,False,7929,12
draft-dawkins-irtf-newrg,irtf,none,False,False,True,False,False,False,7418,05
draft-carpenter-nmrg-homenet-an-use-case,None,none,False,True,False,False,False,False,None,01
draft-thomson-webpush-aggregate,None,none,False,True,False,False,False,False,None,00
draft-stjohns-tls-tls13-crypto-infra,None,none,False,True,False,False,False,False,None,00
draft-mapathak-interas-ab,ietf,bess,False,True,False,False,False,False,None,02
draft-thomson-rtcweb-alpn,None,none,False,False,False,True,False,False,None,00
draft-ietf-ccamp-ospf-availability-extension,ietf,ccamp,False,False,True,False,False,False,8330,13
draft-dawes-sipcore-mediasec-parameter,None,none,False,True,False,False,False,False,None,11
draft-irtf-nmrg-an-gap-analysis,irtf,nmrg,False,False,True,False,False,False,7576,06
draft-lnageleisen-http-chunked-progress,None,none,False,True,False,False,False,False,None,00
draft-tschofenig-core-coap-tcp-tls,None,none,False,False,False,True,False,False,None,05
draft-ietf-roll-admin-local-policy,ietf,roll,False,False,True,False,False,False,7732,03
draft-lzl-mpls-ucase-n-20bit-label-limitation,None,none,False,True,False,False,False,False,None,00
draft-zhong-roll-dis-modifications,None,none,False,False,False,True,False,False,None,00
draft-arumuganainar-rtgwg-dps-l4-ppn,None,none,False,True,False,False,False,False,None,01
draft-gont-6man-rfc6564bis,None,none,False,True,False,False,False,False,None,01
draft-zhang-icnrg-hn,None,none,False,True,False,False,False,False,None,10
draft-arumuganainar-rtgwg-dps-requirements,None,none,False,True,False,False,False,False,None,01
draft-ietf-urnbis-urns-are-not-uris,ietf,urnbis,False,False,False,True,False,False,None,01
draft-chroboczek-babel-diversity-routing,None,none,False,True,False,False,False,False,None,01
draft-smith-v6ops-mitigate-rtr-dos-mld-slctd-node,None,none,False,True,False,False,False,False,None,02
draft-ietf-ippm-registry-passive,ietf,ippm,False,False,False,True,False,False,None,01
draft-huang-xrblock-post-repair-loss-count,None,none,False,True,False,False,False,False,None,01
