doc_name,stream,group,is_active,is_expired,is_rfc,is_replaced,is_withdrawn_submitter,is_withdrawn_ietf,rfc_num,revisions
name,became_rfc,expired,replaced,revisions
draft-sattler-registry-domain-drop-report,False,False,True,0
draft-west-lang-client-hint,False,True,False,0
draft-jov-metropolitan-beacon-system-icd,False,True,False,1
draft-mcallister-pim-yang,False,False,True,2
draft-mglt-dnsop-search-list-processing,False,True,False,0
draft-jones-jose-jwk-thumbprint,False,True,False,1
draft-fairhurst-tsvwg,False,False,True,0
draft-carpenter-nmrg-homenet-an-use-case,False,True,False,1
draft-thomson-webpush-aggregate,False,True,False,0
draft-stjohns-tls-tls13-crypto-infra,False,True,False,0
draft-thomson-rtcweb-alpn,False,False,True,0
draft-dawes-sipcore-mediasec-parameter,False,True,False,11
draft-lnageleisen-http-chunked-progress,False,True,False,0
draft-tschofenig-core-coap-tcp-tls,False,False,True,5
draft-lzl-mpls-ucase-n-20bit-label-limitation,False,True,False,0
draft-zhong-roll-dis-modifications,False,False,True,0
draft-arumuganainar-rtgwg-dps-l4-ppn,False,True,False,1
draft-gont-6man-rfc6564bis,False,True,False,1
draft-zhang-icnrg-hn,False,True,False,10
draft-arumuganainar-rtgwg-dps-requirements,False,True,False,1
draft-chroboczek-babel-diversity-routing,False,True,False,1
draft-smith-v6ops-mitigate-rtr-dos-mld-slctd-node,False,True,False,2
draft-huang-xrblock-post-repair-loss-count,False,True,False,1
draft-torres-dnsext-oid,False,True,False,0
draft-nri-droms-kis,False,True,False,0
draft-fricc-brim-BackboneRouting,False,True,False,1
draft-ietf-rose-tsbridge,False,True,False,0
draft-csc-sawyer-mtudisc,False,True,False,0
draft-nist-nmsig-implagreements,False,True,False,0
draft-fopg-ositransition,False,True,False,0
draft-ccirn-cocl-report,False,True,False,0
draft-ccirn-cocl-doc1,False,True,False,2
draft-ccirn-cocl-doc2,False,True,False,1
draft-ccirn-cocl-doc3,False,True,False,0
draft-ccirn-cocl-doc4,False,True,False,1
draft-chiappa-ipaddressing,False,True,False,0
draft-ccirn-cocl-tsspecification,False,True,False,0
draft-prime-ullmann-smtp,False,True,False,1
draft-isi-rfc_nroff_macros,False,True,False,0
draft-droms-latexrfcstyle,False,True,False,0
draft-trewitt-scriberfcstyle,False,True,False,0
draft-chiappa-routing,False,True,False,1
draft-feil-sitp,False,True,False,1
draft-stevenson-ipoversna,False,True,False,2
draft-bernstein-idserver,False,True,False,1
draft-noon-hybrid-netbios,False,True,False,1
draft-hares-idrp,False,True,False,5
draft-solensky-csharp,False,True,False,0
draft-bernstein-tap,False,True,False,0
draft-tsuchiya-pip,False,True,False,0
draft-karrenberg-proposal,False,True,False,0
draft-graves-printer-spec,False,True,False,0
draft-ullmann-net-utf,False,True,False,0
draft-ietf-stjohns-ipso,False,True,False,0
draft-blaesing-transpro-mib,False,True,False,0
draft-crocker-ip-encaps,False,True,False,1
draft-wang-extended-ip,False,True,False,0
draft-ranch-ipoverlocaltalk,False,True,False,0
draft-dempsey-audit-info,False,True,False,0
draft-rose-limit,False,True,False,1
draft-fink-ipv7-bibliography,False,True,False,1
draft-houttuin-mailservers,False,True,False,2
draft-hardcastle-app-monitormib,False,True,False,0
draft-hardcastle-mapping,False,True,False,0
draft-onions-smtp-knowledge,False,True,False,0
draft-rekhter-fibre-channel,False,True,False,3
draft-malamud-process,False,True,False,0
draft-partridge-ipv7-criteria,False,True,False,1
draft-curran-tune,False,True,False,0
draft-partha-rtcweb-jsep-sip,False,True,False,1
draft-labarre-iimc-mibii,False,True,False,4
draft-labarre-internetmib-iso,False,True,False,4
draft-newnan-isomib-internet,False,True,False,3
draft-labarre-iimc-party,False,True,False,4
draft-chang-iimc-proxy,False,True,False,4
draft-renwei-mpls-bgp-big-label,False,True,False,0
draft-renwei-mpls-big-label,False,True,False,0
draft-wollman-nap-based,False,True,False,0
draft-miller-hippi-mib,False,True,False,0
draft-rekhter-sops,False,True,False,2
draft-kushi-appn-tcpip,False,True,False,0
draft-hares-idrp-mib,False,True,False,0
draft-hares-idrp-familytree,False,True,False,0
draft-li-tap-ipv7,False,True,False,0
draft-yu-rpd,False,True,False,0
draft-wkumari-dnsop-hammer,False,True,False,3
draft-talk-comet-stream-protocol,False,True,False,0
draft-fujiwara-dnsop-ds-query-increase,False,True,False,2
draft-mietz-coap-state-option,False,False,True,0
draft-cameron-cmp,False,True,False,1
draft-houttuin-mapauth,False,True,False,0
draft-hitchcock-eid,False,True,False,0
draft-crocker-stif,False,True,False,0
draft-crocker-pci,False,True,False,0
draft-kovatsch-lwig-coap,False,False,True,3
draft-pusateri-igmp-mib,False,True,False,0
draft-pusateri-ipmulti-mib,False,True,False,0
draft-weatherley-mswindows-mime,False,True,False,0
draft-caradec-telnet-mpx-option,False,True,False,0
draft-chu-fibre-channel-mib,False,True,False,3
draft-teraoka-mobileip-vip,False,True,False,1
draft-wada-packet-forwarding,False,True,False,0
draft-onions-x400p772-822-mapping,False,True,False,2
draft-renwei-l3vpn-big-label,False,True,False,0
draft-rekhter-select-providers,False,True,False,2
draft-faltstrom-macmime,False,True,False,0
draft-glenn-layer-security,False,True,False,0
draft-penners-mobileip-smip,False,True,False,0
draft-crocker-headerset,False,True,False,0
draft-adie-spci,False,True,False,0
draft-adie-shave,False,True,False,0
draft-levinson-sgml,False,True,False,2
draft-vaudreuil-mime-sig,False,True,False,1
draft-waldbusser-v1rows,False,True,False,0
draft-vaudreuil-smtp-stream,False,True,False,0
draft-shenker-realtime-model,False,True,False,0
draft-li-service-chaining-requirements,False,True,False,0
draft-rekhter-direct-provider,False,True,False,1
draft-moore-mime-references,False,True,False,0
draft-houldsworth-sc6-documents,False,True,False,0
draft-cheshire-tcp-over-udp,False,True,False,0
draft-raggett-www-html,False,True,False,0
draft-levi-snmp-mid-level-mgr,False,True,False,0
draft-levi-snmp-script-language,False,True,False,0
draft-huitema-solo,False,True,False,0
draft-ohta-text-encoding,False,True,False,1
draft-ohta-translation-instr,False,True,False,1
draft-ohta-mime-charset-names,False,True,False,0
draft-johnson-imhp,False,True,False,0
draft-holmberg-dispatch-udptl-dtls,False,False,True,0
draft-rekhter-lsr-mobile-hosts,False,True,False,0
draft-perkins-cnlp-support,False,True,False,0
draft-haskin-intra-route-server,False,True,False,0
draft-hollstein-extended-ldif,False,True,False,1
draft-libby-sna-open-gate-proto,False,True,False,0
draft-ohta-ip-over-atm,False,True,False,2
draft-myers-imap-imsp,False,True,False,1
draft-hoffman-rtp-mpeg-encap,False,True,False,1
draft-callon-addflow-support-clnp,False,True,False,0
draft-carpenter-aeiou,False,True,False,0
draft-dusse-pem-message,False,True,False,0
draft-rp-l2vpn-evpn-usage,False,False,True,3
draft-vanderstok-core-comi,False,False,True,11
draft-zu-nvo3-mcast-considerations,False,True,False,0
draft-ghiselli-ipng-whitepaper-req,False,True,False,0
draft-waldbusser-conventions,False,True,False,1
draft-waldbusser-ssecimpl,False,True,False,1
draft-waldbusser-ssecov,False,True,False,0
draft-chapin-clnp-ISO8473,False,True,False,0
draft-howes-x500-schema,False,True,False,3
draft-pritchett-mime-guidelines,False,True,False,0
draft-kunzinger-idrp-ISO10747,False,True,False,1
draft-bridges-tcp-checksum,False,True,False,1
draft-ford-ipng-tuba-whitepaper,False,True,False,0
draft-rzepa-chemical-mime-type,False,True,False,1
draft-garnero-rfb-websocket,False,True,False,0
draft-bellovin-ipng-shape-of-bits,False,True,False,0
draft-simpson-sipp-64-bit-plan,False,True,False,0
draft-borenstein-pgp-mime,False,True,False,0
draft-borenstein-mailcap,False,True,False,0
draft-clark-dns-support,False,True,False,0
draft-freed-ftbp,False,True,False,0
draft-pritchett-namingparts-mime,False,True,False,0
draft-ohta-shared-media,False,True,False,2
draft-rekhter-bigten-addr-arch,False,True,False,0
draft-li-bigten-addr-format,False,True,False,0
draft-leech-socks-protocol-v4,False,True,False,1
draft-ford-bigten-bt-format,False,True,False,0
draft-houldsworth-sc6-hot-finland,False,True,False,0
draft-ohta-dynamic-dns,False,True,False,0
draft-ramanathan-mobility,False,True,False,0
draft-ramanathan-multicast,False,True,False,0
draft-rekhter-arch-sipp16-addr,False,True,False,0
draft-ford-sdrp-sipp16-format,False,True,False,0
draft-davin-qosrep,False,True,False,0
draft-davin-rsvfms,False,True,False,0
draft-ohta-simple-dns,False,True,False,1
draft-lagoze-dienst-protocol,False,True,False,0
draft-robinson-mail-summary,False,True,False,0
draft-robinson-newtelex,False,True,False,0
draft-robinson-bitmap,False,True,False,0
draft-renwick-hippiarp,False,True,False,1
draft-renwick-hippimib,False,True,False,1
draft-schoch-telnet-ssa,False,True,False,0
draft-carpenter-ip6-nsap-map,False,True,False,0
draft-stenberg-homenet-dnssdext-hybrid-proxy-ospf,False,True,False,0
draft-simpson-ipv6-deploy,False,True,False,0
draft-simpson-ipv6-discovery-req,False,True,False,0
draft-simpson-ipv6-hc,False,True,False,0
draft-pporamba-dtls-certkey,False,True,False,1
draft-perkins-ipv6-mobility-sup,False,True,False,2
draft-simpson-ipv6-discov-formats,False,True,False,2
draft-simpson-ipv6-discov-process,False,True,False,2
draft-hinden-ipng-addr,False,True,False,0
draft-conta-ipv6-icmp-igmp,False,True,False,0
draft-hinden-ipng-overview,False,True,False,0
draft-gilligan-ipv6-sit-overview,False,True,False,1
draft-carpenter-percep,False,True,False,0
draft-esaki-co-cl-ip-forw-atm,False,True,False,1
draft-carpenter-ipng-nosi,False,True,False,0
draft-aziz-skip,False,True,False,0
draft-liu-running-multiple-prefixes,False,True,False,1
draft-psenak-ospf-segment-routing-extensions,False,False,True,5
draft-houldsworth-ip6-nsap-use,False,True,False,0
draft-armitage-ipatm-mcserv,False,True,False,0
draft-oiwa-httpauth-mutual-algo,False,True,False,2
draft-veizades-ipng-svrloc,False,True,False,0
draft-even-mmusic-application-token,False,True,False,3
draft-brownlee-acct-arch-report,False,True,False,3
draft-francois-sr-frr,False,True,False,0
draft-lloyd-ip6-iso-itu-reg,False,True,False,0
draft-huitema-multi-homed,False,True,False,1
draft-huang-lmap-data-collection-use-case,False,True,False,0
draft-simpson-ipv6-mobility,False,True,False,0
draft-cheng-modular-ikmp,False,True,False,0
draft-mpls-ipv6-only-gap,False,True,False,0
draft-raymond-rtcweb-webrtc-js-obj-api-rationale,False,True,False,1
draft-fielding-http-spec,False,False,True,1
draft-reijnierse-topology,False,True,False,0
draft-kristol-http-extensions,False,True,False,0
draft-metzger-esp,False,True,False,0
draft-metzger-ah,False,True,False,0
draft-robinson-games-overview,False,True,False,0
draft-kastenholz-loki,False,True,False,0
draft-dckmtr-proxy,False,True,False,0
draft-teraoka-ipv6-mobility-sup,False,True,False,7
draft-flick-repeater-dev-mib,False,True,False,0
draft-flick-interfaces-mib,False,True,False,0
draft-luff-relative-json-pointer,False,False,True,0
draft-rekhter-ip-atm-architecture,False,True,False,0
draft-rekhter-stratum-aggregation,False,True,False,1
draft-mcdonald-ipv6-sec-api,False,True,False,0
draft-metzger-ah-sha,False,True,False,0
draft-levinson-cid,False,True,False,2
draft-chiotis-isdn-netmode,False,True,False,0
draft-heffernan-tcp-md5,False,False,True,2
draft-boucadair-network-function-chaining,False,False,True,3
draft-myers-imap-mbox,False,True,False,0
draft-myers-822-widereply,False,True,False,0
draft-rekhter-idr-over-atm,False,True,False,0
draft-onions-822-mailproblems,False,True,False,0
draft-christian-global-info-lsp,False,True,False,0
draft-roeck-isdn-mib-ext,False,True,False,0
draft-carpenter-ipv6-osi,False,True,False,1
draft-sivabalan-pce-segment-routing,False,False,True,3
draft-droms-6man-multicast-scopes,False,True,False,2
draft-perkins-homeaddr-dhcpopt,False,True,False,0
draft-simpson-exchanges,False,True,False,0
draft-weider-comindex,False,True,False,0
draft-kurapati-l3vpn-dynamicrp-bgpmvpn,False,True,False,0
draft-kre-ipv6-payload,False,True,False,0
draft-talpade-sce,False,True,False,0
draft-choi-httpbis-multi-location-return,False,True,False,0
draft-fink-ipatm-ira,False,True,False,0
draft-ohta-ipv6-addr-arch,False,True,False,0
draft-chen-isdn-ibm,False,True,False,0
draft-jain-nvo3-vxlan-ping,False,True,False,0
draft-palme-autosub,False,True,False,6
draft-hemming-financial-auth,False,True,False,0
draft-traina-bgp-confed,False,True,False,0
draft-hill-itr-non-accession-harmful,False,True,False,1
draft-newman-imap-annotate,False,True,False,0
draft-hickman-netscape-ssl,False,True,False,0
draft-armitage-ipatm-encaps,False,True,False,1
draft-rogaway-cbc-encrypt,False,True,False,0
draft-armitage-ipatm-mars-unicast,False,True,False,0
draft-roberts-isdn-mib-ext,False,True,False,0
draft-joncheray-encryption,False,True,False,0
draft-barr-dns-errors,False,True,False,3
draft-katsube-flow-mapping-dl-conn,False,True,False,0
draft-perkins-mobility-ipv6,False,True,False,0
draft-carpenter-nsap-ipv6,False,True,False,0
draft-lemon-tls-blocking-alert,False,True,False,0
draft-wallstrom-dnsop-copyright-prefix,False,True,False,0
draft-borenstein-kidcode,False,True,False,0
draft-allocchio-mail11,False,True,False,0
draft-jiang-config-negotiation-ps,False,True,False,3
draft-waters-snmpv1-sec-mech,False,True,False,0
draft-luotonen-web-proxy-tunneling,False,True,False,1
draft-rogaway-ipsec-comments,False,True,False,0
draft-barber-nntp-imp,False,True,False,10
draft-dwc-abfab-trust-model,False,True,False,0
draft-stein-green-commerce-model,False,True,False,0
draft-borenstein-agc-spec,False,True,False,0
draft-rose-smxp-spec,False,True,False,0
draft-armitage-ipatm-ipv6mc,False,True,False,0
draft-zhang-ospf-dvl,False,True,False,1
draft-krawczyk-keyed-md5,False,True,False,1
draft-sklower-ipv6-getconninfo,False,True,False,3
draft-kornegay-snmpv2-secext,False,True,False,0
draft-tsudik-ikp,False,True,False,0
draft-kzm-snmpv2-intro-alt,False,True,False,0
draft-kzm-snmpv2-coex-alt,False,True,False,0
draft-kzm-snmpv2-conf-alt,False,True,False,0
draft-kzm-snmpv2-mib-alt,False,True,False,0
draft-kzm-snmpv2-proto-alt,False,True,False,0
draft-kzm-snmpv2-smi-alt,False,True,False,0
draft-kzm-snmpv2-adminv2-alt,False,True,False,0
draft-kzm-snmpv2-sec-alt,False,True,False,0
draft-kzm-snmpv2-tm-ds,False,True,False,3
draft-chenxin-behave-turn-websocket,False,True,False,1
draft-xie-epp-trademark-mapping,False,True,False,1
draft-eastlake-internet-payment,False,True,False,1
draft-heavens-problems-rsts,False,True,False,2
draft-prior-future-host-guidelines,False,True,False,3
draft-romanov-simple-snmp,False,True,False,0
draft-moonesamy-nomcom-eligibility,False,True,False,1
draft-moore-sonar,False,True,False,3
draft-patel-raszuk-bgp-vector-routing,False,True,False,7
draft-milliken-ipatm-services,False,True,False,0
draft-bormann-mmusic-itu-interop,False,True,False,1
draft-zimmerman-finger-use,False,True,False,0
draft-galvin-telnet-authenc,False,True,False,0
draft-galvin-telnet-gssapi,False,True,False,0
