name,group,start,end
Kenny Paterson,cfrg,2015-07-12 01:54:22,2020-01-14 14:14:00
Alexey Melnikov,cfrg,2015-07-12 01:54:22,None
Nick Sullivan,cfrg,2019-05-01 15:05:02,None
Stanislav Smyshlyaev,cfrg,2020-01-14 14:14:00,None
Joerg Ott,dtnrg,2015-01-23 04:06:57,2016-04-05 06:40:00
Kevin Fall,dtnrg,2015-01-23 04:06:57,2016-04-05 06:40:00
Lisandro Granville,nmrg,2015-11-02 23:03:17,2018-08-15 23:33:42
Jérôme François,nmrg,2019-05-08 12:43:44,None
Laurent Ciavaglia,nmrg,2015-11-16 02:30:44,None
Jana Iyengar,iccrg,2016-01-21 00:55:14,2017-11-27 11:26:55
Michael Welzl,iccrg,2016-01-21 00:55:14,2017-11-27 11:26:55
Janardhan Iyengar,iccrg,2017-11-27 11:26:55,None
Adam Roach,apparea,2017-03-30 13:02:27,None
Alexey Melnikov,apparea,2017-03-30 13:02:27,None
Ben Campbell,apparea,2017-03-30 13:02:27,None
Al Morton,bmwg,2013-04-25 11:26:15,None
Sarah Banks,bmwg,2013-04-25 11:26:15,None
Tomek Mrugalski,dhc,2013-03-12 07:34:36,2020-06-09 08:16:50
Bernie Volz,dhc,2013-03-12 07:34:36,None
Timothy Winters,dhc,2020-06-09 08:16:50,None
Henk Uijterwaal,ippm,2012-11-27 09:53:38,2012-11-27 10:42:51
Matthew Zekauskas,ippm,2012-11-27 09:53:38,2012-11-27 10:42:51
Bill Cerveny,ippm,2012-11-27 09:53:38,2020-04-02 13:29:35
Brian Trammell,ippm,2012-11-27 09:53:38,2020-04-02 13:29:35
Ian Swett,ippm,2020-02-14 06:40:10,None
Tommy Pauly,ippm,2018-06-14 02:26:10,None
David Ward,isis,2013-07-17 12:30:24,2013-08-19 10:09:27
Chris Hopps,isis,2013-07-17 12:30:24,2018-03-01 11:44:32
Hannes Gredler,isis,2013-07-17 12:30:24,2018-03-01 11:44:32
Justin Dean,manet,2014-11-13 15:19:40,2019-07-31 07:36:15
Stan Ratliff,manet,2014-11-13 15:19:40,2019-11-20 02:21:25
Ronald in 't Velt,manet,2019-10-29 14:34:13,None
Ari Keranen,mmusic,2013-01-11 09:15:28,2015-10-16 09:19:24
Bo Burman,mmusic,2015-10-16 09:19:24,None
Flemming Andreasen,mmusic,2013-01-11 09:15:28,None
George Swallow,mpls,2016-07-22 03:43:42,2018-03-22 09:08:53
Loa Andersson,mpls,2016-07-22 03:43:42,None
Nicolai Leymann,mpls,2016-07-27 08:24:59,None
Tarek Saad,mpls,2019-05-15 09:03:46,None
Brian Pawlowski,nfsv4,2019-11-21 00:48:43,None
David Noveck,nfsv4,2019-11-21 00:48:43,None
Eric Rescorla,saag,2017-03-30 13:16:41,None
Kathleen Moriarty,saag,2017-03-30 13:16:41,None
Acee Lindem,ospf,2014-08-19 09:21:35,2018-03-01 11:05:59
Abhay Roy,ospf,2014-08-19 09:21:35,2018-03-01 11:05:59
Eric Rescorla,secdir,2017-03-31 08:46:27,2019-03-27 11:55:41
Kathleen Moriarty,secdir,2017-03-31 08:46:27,2019-03-27 11:55:41
Benjamin Kaduk,secdir,2019-03-27 11:55:41,None
Roman Danyliw,secdir,2019-03-27 11:55:41,None
Eric Rescorla,tls,2014-02-02 10:30:01,2014-07-22 11:26:08
Christopher Wood,tls,2018-07-07 15:03:32,None
Joseph Salowey,tls,2014-02-02 10:30:01,None
