Draft,Bwc_most_infl,Bwc_least_infl,Bwc_avg,Email_count_most_infl,Email_count_least_infl,Email_count_avg,Age_most_infl,Age_least_infl,Age_avg,Total_authors,In_top10,In_next20,Draft_published_most_infl,Draft_published_least_infl,Draft_published_avg,Areas_most_infl,Areas_least_infl,Areas_avg,Mlist_count_most_infl,Mlist_count_least_infl,Mlist_count_avg,cisco,huawei,ericsson,nokia,juniper,nortel,microsoft,sun,at&t,china mobile,alcatel-lucent,nec,comcast,google,ibm,alcatel,mit,uc3m,france,tsinghua university
draft-wu-pce-discovery-priority-allocation,0.0173,0.0173,0.017,1407,1407,1407.0,7.0,7.0,7.0,1,1,0,1,1,1.0,9,9,1.0,51,51,51.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-du-anima-ipv4-acp,0.0297,0.0,0.015,707,31,369.0,8.0,5.5,6.75,2,1,0,1,1,1.0,8,1,1.0,38,3,20.5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-sporny-hashlink,0.007,0.0,0.004,20,25,22.5,7.5,11.0,9.25,2,0,1,1,0,0.5,3,3,0.5,5,3,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-muley-pwe3-redundancy,0.0638,0.0,0.021,159,1,55.667,16.0,0.0,7.833,3,1,0,1,1,1.0,5,0,1.0,10,0,4.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
draft-wang-v6ops-xlat-prefix-discovery,0.0,0.0,0.0,4,1,2.5,4.0,0.0,2.0,5,0,0,1,0,0.5,1,1,0.5,3,1,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-yoneya-dnssec-kskro-failure-recovery,0.0007,0.0006,0.001,77,18,47.5,11.5,5.5,8.5,2,0,0,0,0,0.0,5,5,0.0,13,10,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-ietf-iasa2-rfc7776bis,0.2772,0.0219,0.15,1894,508,1201.0,18.5,25.0,21.75,2,2,0,1,1,1.0,10,10,1.0,98,76,87.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-cuspdt-rtgwg-cu-separation-bng-deployment,0.1208,0.0,0.031,1094,0,329.75,27.0,-1.0,8.75,5,1,1,1,1,1.0,9,0,1.0,50,0,23.75,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
draft-yong-l3vpn-nvgre-vxlan-encap,0.0219,0.0173,0.02,938,673,805.5,8.0,7.5,7.75,2,2,0,1,1,1.0,6,6,1.0,31,25,28.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-ietf-mpls-update-mech,0.0,0.0,0.0,0,0,0.0,-2.5,-2.5,-2.5,1,0,0,1,1,1.0,0,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-ketant-idr-bgp-ls-app-specific-attr,0.1351,0.0181,0.059,1122,411,646.333,9.0,16.5,13.5,3,3,0,1,1,1.0,8,5,1.0,58,13,28.667,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-ietf-sipcore-b2bua-survivability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-clemm-nmrg-dist-intent,0.1351,0.0014,0.049,1122,74,493.5,10.0,10.0,11.625,4,3,0,1,1,1.0,8,4,1.0,58,8,27.75,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-mglt-dprive-dns-uri,0.1704,0.1704,0.17,1242,1242,1242.0,12.0,12.0,12.0,1,1,0,1,1,1.0,10,10,1.0,60,60,60.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-ietf-repute-email-identifiers,0.2639,0.008,0.136,3478,91,1784.5,7.5,22.5,15.0,2,1,1,1,1,1.0,8,3,1.0,47,9,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-mahesh-etsi-urn,0.0539,0.0,0.027,845,21,433.0,12.5,4.0,8.25,2,1,0,1,1,1.0,8,2,1.0,64,3,33.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-spring-srv6-oam,0.1048,0.0,0.021,1311,0,325.4,16.5,-1.5,8.65,10,4,1,1,1,0.9,7,0,0.9,34,0,16.8,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
draft-andersen-historic-4406-etal,0.0129,0.0129,0.013,360,360,360.0,5.5,5.5,5.5,1,1,0,1,1,1.0,6,6,1.0,17,17,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-mongrain-ecrit-service-coverage-scope-urn,0.0,0.0,0.0,8,8,8.0,0.0,0.0,0.0,1,0,0,1,1,1.0,1,1,1.0,1,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-ietf-ltans-dssc,0.0052,0.0,0.002,19,2,10.0,5.0,5.5,4.667,3,0,1,0,0,0.0,2,1,0.0,2,1,1.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-ietf-isis-mrt,0.2056,0.0005,0.059,1816,50,620.0,14.5,9.5,8.2,5,3,1,1,1,1.0,9,2,1.0,105,8,40.4,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-ioametal-ippm-6man-ioam-ipv6-options,0.0706,0.0,0.014,869,6,229.077,15.5,1.5,8.692,13,4,3,1,1,1.0,9,2,1.0,123,2,22.077,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
draft-ietf-v6ops-3gpp-eps,0.0967,0.0183,0.05,1040,227,565.4,13.0,10.0,9.9,6,5,0,1,1,1.0,5,7,1.0,25,20,26.0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-ietf-opsawg-cna-mib,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-caufield-paws-protocol-for-tvws,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-perez-dispatch-sdcp,0.0011,0.0,0.001,11,2,6.5,4.0,2.5,3.25,2,0,0,1,0,0.5,2,2,0.5,7,2,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-rao-ccamp-otn-mlnmrn-ospfte-ext,0.0002,0.0002,0.0,24,59,41.5,10.0,2.0,6.0,2,0,0,1,1,1.0,2,1,1.0,3,2,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-ietf-netext-pmipv6-sipto-option,0.1487,0.0,0.049,1221,1,523.5,9.0,4.0,8.25,4,2,1,1,1,1.0,7,1,1.0,38,1,19.25,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-chodorek-tsvwg-rsvp-dynamic-resv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-wilde-updating-rfcs,0.0302,0.0302,0.03,328,328,328.0,15.0,15.0,15.0,1,1,0,1,1,1.0,6,6,1.0,17,17,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-sun-opsawg-sdwan-service-model,0.0721,0.0,0.037,636,4,458.6,17.5,0.0,12.5,5,3,1,1,1,0.6,9,1,0.6,51,2,33.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-ietf-l1vpn-applicability-basic-mode,0.4154,0.001,0.141,2083,81,752.0,7.0,7.0,6.0,3,1,1,1,1,1.0,7,3,1.0,35,10,16.667,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-nottingham-http2-ops,0.4439,0.4439,0.444,3122,3122,3122.0,13.5,13.5,13.5,1,1,0,1,1,1.0,7,7,1.0,41,41,41.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-ietf-mpls-rfc8287-len-clarification,0.063,0.0,0.027,1126,16,509.75,14.5,5.0,11.5,4,3,0,1,1,1.0,9,1,1.0,57,2,27.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-pinkas-2560bis-certinfo,0.0167,0.0167,0.017,288,288,288.0,17.5,17.5,17.5,1,1,0,0,0,0.0,4,4,0.0,7,7,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-irtf-cfrg-pairing-friendly-curves,0.0116,0.0,0.004,37,5,23.333,1.5,1.0,1.167,4,0,1,0,1,0.333,1,2,0.333,1,2,1.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-copeland-rtcweb-p2p-idp-auth,0.0,0.0,0.0,0,0,0.0,-0.5,-0.5,-0.5,4,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-binet-v6ops-cellular-host-requirements,0.0692,0.0,0.028,835,21,505.0,4.0,10.5,6.0,5,3,0,1,1,1.0,6,3,1.0,20,4,18.2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0
draft-ietf-alto-server-discovery,0.1149,0.0,0.035,532,5,291.4,12.0,3.0,7.3,5,3,1,1,1,1.0,8,1,1.0,39,1,21.0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
draft-vsperf-bmwg-vswitch-opnfv,0.1114,0.0,0.056,916,1,458.5,13.0,-0.5,6.25,3,1,0,1,1,1.0,9,1,1.0,37,1,19.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
draft-ietf-aqm-recommendation,0.3541,0.0326,0.193,2020,262,1141.0,24.5,17.0,20.75,2,2,0,1,1,1.0,12,8,1.0,88,27,57.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-bortzmeyer-rfc7816bis,0.2892,0.2346,0.262,2296,1187,1741.5,23.5,16.0,19.75,2,2,0,1,1,1.0,11,11,1.0,83,63,73.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-donley-v6ops-ce-router-design,0.0201,0.0,0.007,182,0,96.4,2.5,-1.0,2.2,5,2,1,1,0,0.6,4,0,0.6,18,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
draft-ietf-ntp-mac,0.0091,0.0058,0.007,53,100,76.5,3.0,6.0,4.5,2,1,1,1,1,1.0,6,6,1.0,13,7,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-chen-nvo3-ipid-pm,0.0,0.0,0.0,16,16,16.0,9.5,9.5,9.5,1,0,0,1,1,1.0,3,3,1.0,6,6,6.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-jayaprabhu-xrblock-rtcp-xr-viewership,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-levine-dmarcwalk,0.6165,0.6165,0.617,3319,3319,3319.0,18.0,18.0,18.0,1,1,0,1,1,1.0,9,9,1.0,84,84,84.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-blanchet-dtnrg-bp-application-framework,0.1225,0.1225,0.122,541,541,541.0,15.0,15.0,15.0,1,1,0,1,1,1.0,9,9,1.0,53,53,53.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-jiang-dnsext-a6-to-historic,0.6685,0.0,0.241,4085,316,1692.333,17.5,4.5,12.833,3,2,0,1,1,0.667,10,6,0.667,77,23,42.667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-l3vpn-service-yang,0.012,0.0,0.005,493,4,191.0,4.5,0.0,3.5,4,1,1,1,1,1.0,4,2,1.0,21,3,13.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
draft-sullivan-tls-opaque,0.2173,0.0008,0.059,1060,82,354.75,13.0,1.5,10.0,4,2,1,1,1,1.0,10,4,1.0,53,12,20.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-gerdes-ace-a2a,0.0017,0.0017,0.002,154,154,154.0,2.0,2.0,2.0,1,0,1,1,1,1.0,4,4,1.0,10,10,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-mglt-dhc-public-authoritative-server-option,0.0038,0.0,0.001,84,10,38.0,5.5,2.0,4.625,4,0,1,1,1,1.0,5,1,1.0,15,1,8.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
draft-ietf-sipcore-rfc4028bis,0.2543,0.0072,0.091,3905,30,1360.667,17.0,29.0,22.5,3,1,2,1,1,1.0,8,3,1.0,54,7,22.667,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-ietf-repute-media-type,0.2639,0.008,0.136,3478,91,1784.5,7.5,22.5,15.0,2,1,1,1,1,1.0,8,3,1.0,47,9,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-whyte-qsh-tls12,0.0075,0.0,0.003,45,1,15.333,18.0,0.0,5.833,3,1,0,0,0,0.0,3,1,0.0,4,1,1.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-rosenau-prenegotiated-options,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-greevenbosch-core-minimum-request-interval,0.0198,0.0198,0.02,174,174,174.0,2.0,2.0,2.0,1,1,0,1,1,1.0,5,5,1.0,13,13,13.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-boucadair-6man-prefix-routing-reco,0.3385,0.0904,0.214,2006,1371,1688.5,35.0,10.0,22.5,2,2,0,1,1,1.0,7,9,1.0,47,38,42.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
draft-bajko-v6ops-port-restricted-ipaddr-assign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-gurbani-sipclf-problem-statement,0.494,0.0,0.238,1326,0,770.0,9.5,7.5,8.833,5,2,0,1,1,1.0,8,0,1.0,49,0,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-andrews-dnsop-pd-reverse,0.0985,0.0985,0.099,2351,2351,2351.0,21.5,21.5,21.5,1,1,0,1,1,1.0,8,8,1.0,34,34,34.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-ietf-homenet-prefix-assignment,0.3038,0.0005,0.152,2067,134,1100.5,17.5,2.0,9.75,3,1,0,1,1,1.0,12,5,1.0,146,11,78.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-dhs-spring-pce-sr-p2mp-policy,0.0068,0.0,0.002,73,0,33.8,2.0,-1.0,5.3,5,0,2,1,1,1.0,2,0,1.0,7,0,4.8,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-tschofenig-core-senml-lbn,0.3381,0.3381,0.338,1670,1670,1670.0,17.5,17.5,17.5,1,1,0,1,1,1.0,8,8,1.0,50,50,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draft-ietf-grow-filtering-threats,0.0048,0.0,0.002,72,0,30.333,11.0,-1.0,4.0,3,0,1,1,1,1.0,5,0,1.0,12,0,4.667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
