imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<883A3FEB-130F-4041-AA87-4DD473463AB5@amsl.com>,NO,-100.495,,"No, score=-100.495 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, FH_RELAY_NODNS=1.451, HELO_MISMATCH_COM=0.553, RDNS_NONE=0.1, USER_IN_WHITELIST=-100]",False,0.5,False,0.07970566712219727
2,<20091022144707.EFAA23A6A6D@core3.amsl.com>,,,,,False,-0.8,False,0.49999999999999784
3,<20091026221553.6B44128C3E4@core3.amsl.com>,,,,,False,-0.8,False,0.49999999999999784
4,<20091029142809.CD2323A6AC6@core3.amsl.com>,,,,,False,-0.8,False,0.49999999999999784
5,<20091102182041.7DCF23A6814@core3.amsl.com>,,,,,False,-0.8,False,0.49999999999999784
6,<20091105103747.3F0A33A683B@core3.amsl.com>,,,,,False,-0.8,False,0.03481168340193519
7,<8291239D-236C-4AEE-845B-1083C8FB195A@amsl.com>,NO,-102.599,,"No, score=-102.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
8,<B404EECB-C6C0-443B-AA07-3F884EDB2723@amsl.com>,NO,-102.599,,"No, score=-102.599 tagged_above=-999 required=5 tests=[AWL=0.000, BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
9,<1B737C7B-22B7-4B50-A941-1F5725EB0A04@isoc.org>,NO,-101.964,,"No, score=-101.964 tagged_above=-999 required=5 tests=[AWL=0.300, BAYES_00=-2.599, HTML_MESSAGE=0.001, IP_NOT_FRIENDLY=0.334, USER_IN_WHITELIST=-100]",False,-1.0,False,0.49999999999999784
10,<A966FFC7-DEFF-4AE3-BC66-1469C7A25C0E@isoc.org>,NO,-101.984,,"No, score=-101.984 tagged_above=-999 required=5 tests=[AWL=0.281, BAYES_00=-2.599, IP_NOT_FRIENDLY=0.334, USER_IN_WHITELIST=-100]",False,-1.0,False,0.49999999999999784
11,<7E57EC57-664C-480E-B93F-58431FAF3E83@isoc.org>,NO,-101.996,,"No, score=-101.996 tagged_above=-999 required=5 tests=[AWL=0.269, BAYES_00=-2.599, IP_NOT_FRIENDLY=0.334, USER_IN_WHITELIST=-100]",False,-1.0,False,0.49999999999999784
12,<58070A69-18FB-4D51-9C1F-EC6BC8A56B4A@amsl.com>,NO,-102.599,,"No, score=-102.599 tagged_above=-999 required=5 tests=[AWL=0.000, BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
13,<6FDC9734-44D9-46A7-B415-56D72C076601@amsl.com>,NO,-102.599,,"No, score=-102.599 tagged_above=-999 required=5 tests=[AWL=0.000, BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
14,<FB7496D0-4BE8-4A4A-911D-681C3B918576@amsl.com>,NO,-102.599,,"No, score=-102.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-2.0,False,0.22737794128918348
15,<359AF01E-F034-4772-9E48-0A52970975E1@amsl.com>,NO,-102.599,,"No, score=-102.599 tagged_above=-999 required=5 tests=[AWL=0.000, BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
16,<20091111032153.5C9753A69D1@core3.amsl.com>,,,,,False,-0.8,False,0.03481168340193519
17,<20091111041159.362073A6944@core3.amsl.com>,,,,,False,-0.8,False,0.006803068167124697
18,<EFF553F3-7609-4245-B7BB-43FEFAA79F1C@amsl.com>,NO,-102.599,,"No, score=-102.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-2.0,False,0.22737794128918348
19,<20091111223915.3AEB33A68AF@core3.amsl.com>,,,,,False,-0.8,False,0.49999999999999784
20,<68F7D251898244C98EA48410BEFAB01A@ams3mxglf1>,NO,-102.599,,"No, score=-102.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
21,<0F0D3833-7FE6-4741-8F06-688E029B56FC@amsl.com>,NO,-102.599,,"No, score=-102.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
22,<2743FA21-C034-4ED5-99B6-789F5F10074D@isoc.org>,NO,-103.432,,"No, score=-103.432 tagged_above=-999 required=5 tests=[AWL=0.167, BAYES_00=-2.599, RCVD_IN_DNSWL_LOW=-1, USER_IN_WHITELIST=-100]",False,-1.0,False,0.22737794128918348
